Russian President Vladimir Putin and his Venezuelan counterpart Nicolas Maduro discussed by telephone cooperation between the two countries, including implementation of projects in the energy sector, the Kremlin said in a statement on Monday....	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-russia-venezuela.html	2017-07-10T18:12:28+0000	World
President of Cyprus Nicos Anastasiades said on Monday he remained ready to negotiate a peace deal with estranged Turkish Cypriots and Turkey, after U.N.-backed talks ended in acrimony last week....	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-cyprus-conflict-anastasiades.html	2017-07-10T18:09:30+0000	World
A Bahrain court sentenced rights campaigner Nabeel Rajab to two years in jail on Monday, supporters said, for allegedly making &#8220;false or malicious&#8221; statements about Bahraini authorities....	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-bahrain-rights.html	2017-07-10T18:06:27+0000	World
Here are some statistics that illustrate the scope of the fight that wrested the northern Iraqi city of Mosul from the Islamic State group and the legacy of the wider war against the militants....	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-iraq-mosul-war-by-the-numbers.html	2017-07-10T18:01:02+0000	World
Iraq's announcement of victory in Mosul effectively shatters the Islamic State group's self-styled caliphate. But a complete territorial defeat will take many more months, and the extremists will likely pose a threat in Iraq, Syria and beyond for ...	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-islamic-state-news-guide.html	2017-07-10T18:00:59+0000	World
Drilling off ethnically divided Cyprus in search of oil and gas will go ahead as scheduled following the collapse of reunification talks despite strong objections voiced by Turkey, the island's president said Monday....	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-cyprus-peace-talks.html	2017-07-10T18:00:57+0000	World
The U.S.-led coalition backing Iraqi forces against Islamic State on Monday warned that victory against the ultra-hardline group in Mosul did not mark the end of its global threat and urged Iraqis to unite to defeat the militants....	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-usa.html	2017-07-10T17:42:31+0000	World
Iraq's prime minister declared victory over the Islamic State group in Mosul after more than eight months of some of the toughest fighting Iraqi forces have faced in the more than 3-year-old war against the extremists....	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-iraq-mosul-5-things-to-know.html	2017-07-10T17:39:56+0000	World
A timeline of events in the rise and fall of the Islamic State group in Iraq and Mosul....	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-mosul-timeline.html	2017-07-10T17:34:04+0000	World
Gunmen sprayed bullets on a passenger bus bringing Hindu pilgrims back from a cave shrine in Indian-controlled Kashmir on Monday, killing at least seven of them, including five women, and wounding 14 others, police said....	https://www.nytimes.com/aponline/2017/07/10/world/asia/ap-as-rel-kashmir-pilgrims-attacked.html	2017-07-10T17:30:56+0000	World
Charlie Gard is a terminally ill British child whose parents are fighting for the right to take him to the United States for an experimental treatment. His case has gained international attention, including from Pope Francis and U.S. President Don...	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-britain-sick-baby-glance.html	2017-07-10T17:25:11+0000	World
Peru has recalled its ambassador to Ecuador to protest the construction of a border wall between the neighboring countries, the foreign affairs ministry said Monday....	https://www.nytimes.com/reuters/2017/07/10/world/americas/10reuters-peru-ecuador.html	2017-07-10T17:18:27+0000	World
The cease-fire, near the Syria border with Jordan and the Israeli-occupied Golan Heights, was holding 24 hours after it took effect Sunday....	https://www.nytimes.com/2017/07/10/world/middleeast/syria-truce-jordan-golan-trump-russia-united-nations.html	2017-07-10T17:13:46+0000	World
United States Ambassador to the United Nations Nikki Haley aims to put to a vote within weeks a U.N. Security Council resolution to impose stronger sanctions on North Korea over its long-range ballistic missile test, said several senior U.N. diplo...	https://www.nytimes.com/reuters/2017/07/10/world/asia/10reuters-northkorea-missile-un.html	2017-07-10T17:12:30+0000	World
The United States deployed a battery of Patriot long-range anti-aircraft missiles in Lithuania to be used in NATO wargames from Tuesday - the first time the advanced defense system has been brought to the Baltics where Russia has air superiority....	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-usa-baltics-patriot.html	2017-07-10T17:06:33+0000	World
A federal appeals court on Monday revived a lawsuit seeking to force a Madrid museum to return an Impressionist masterpiece to the family of a Jewish woman who was compelled to sell it to a Nazi art appraiser for $360 in 1939 so she could flee Ger...	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-nazi-art-madrid.html	2017-07-10T16:57:33+0000	World
Six Hindu pilgrims, most of them women, were killed in a gunbattle that erupted in Indian Kashmir on Monday following two of militant attacks on police....	https://www.nytimes.com/reuters/2017/07/10/world/asia/10reuters-india-kashmir.html	2017-07-10T16:57:30+0000	World
About 10 Malian soldiers were missing following an ambush by suspected Islamist militants in the West African nation's desert north, the army said on Monday....	https://www.nytimes.com/reuters/2017/07/10/world/africa/10reuters-mali-security.html	2017-07-10T16:42:27+0000	World
The Security Council unanimously approved a resolution Monday authorizing a new U.N. political mission in Colombia to focus on reintegrating leftist rebels into society after more than 50 years of war &#8212; a task the United Nations calls the mo...	https://www.nytimes.com/aponline/2017/07/10/world/americas/ap-un-united-nations-colombia.html	2017-07-10T16:31:14+0000	World
Japan and its international allies will push for Russia to do more to rein North Korea's nuclear ambitions, a Japanese official said during a visit to Denmark on Monday....	https://www.nytimes.com/reuters/2017/07/10/world/asia/10reuters-japan-northkorea-russia.html	2017-07-10T16:27:31+0000	World
British Prime Minister Theresa May suspended one of her Conservative Party lawmakers on Monday after she used racist language at a think tank event on the implications of Brexit on the financial services sector....	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-britain-eu-mps.html	2017-07-10T16:24:41+0000	World
Iraqi Prime Minister Haider al-Abadi has announced victory over Islamic State in Mosul from the operations room of the Counter-Terrorism Service, his media office said on Twitter on Monday....	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-announcement.html	2017-07-10T16:24:37+0000	World
Jane Austen once wrote that a large income was the best recipe for happiness. Now a private letter written by the author to her niece could well make someone very happy indeed....	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-britain-austen-letter.html	2017-07-10T16:21:32+0000	World
Portuguese prosecutors said on Monday that three junior government ministers were among those being investigated as part of a police probe into possible misconduct in public office....	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-portugal-politics-resignations.html	2017-07-10T16:06:39+0000	World
Iraqi Prime Minister Haider al-Abadi formally declared victory over Islamic State in the city of Mosul on Monday, marking the biggest defeat for the group since it declared a caliphate three years ago....	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-abadi.html	2017-07-10T16:06:36+0000	World
A court has given a former Romanian mayor a four-year suspended prison sentence for illegally selling state-owned beaches....	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-romania-corruption.html	2017-07-10T16:04:21+0000	World
The Russian lawyer who has been thrust into the spotlight following reports of her meeting with President Donald Trump's eldest son was a largely unknown figure until she began to represent the son of a Russian official in a major money-laundering...	https://www.nytimes.com/aponline/2017/07/10/world/europe/ap-eu-trump-russia-probe-lawyer.html	2017-07-10T15:55:10+0000	World
Piles of concrete and metal rubble reach up to the second storey of surrounding buildings in parts of the historic quarter where Islamic State is making its last stand in Mosul....	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-iraq-destruction.html	2017-07-10T15:51:31+0000	World
Syrian Kurdish fighters clashed with Turkish forces shelling Kurdish-held towns in northwest Syria on Monday, Kurdish officials said....	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-mideast-crisis-syria-afrin.html	2017-07-10T15:45:40+0000	World
The relatives of two of the three American soldiers shot dead at a Jordanian air base last year described the pain of their loss in letters Monday to a military court trying the alleged killer....	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-jordan-americans-killed.html	2017-07-10T15:37:26+0000	World
